Country,Date,foreignlongterm,foreignshortterm,foreignoutlookWatch,locallongterm,localoutlookWatch
Panama,20/07/2000,BB+,B,,BB+,
Panama,14/02/2000,BB+,B,Rating Watch positive,BB+,Rating Watch positive
Panama,8/09/1998,BB+,B,,BB+,
Papua New Guinea,24/01/2010,-,,,-,
Papua New Guinea,13/03/2008,B+,B,stable,B+,stable
Papua New Guinea,9/01/2007,B,B,positive,B+,stable
Papua New Guinea,10/07/2003,B,B,stable,B+,stable
Papua New Guinea,21/09/2000,B+,B,stable,BB-,stable
Papua New Guinea,1/01/1999,B+,B,,BB-,
Peru,10/11/2011,BBB,F2,stable,BBB+,stable
Peru,2/06/2010,BBB-,F3,positive,BBB,positive
Peru,2/04/2008,BBB-,F3,stable,BBB,stable
Peru,6/03/2007,BB+,B,positive,BBB-,positive
Peru,31/08/2006,BB+,B,stable,BBB-,stable
Peru,4/11/2005,BB,B,positive,BB+,positive
Peru,18/11/2004,BB,B,stable,BB+,stable
Peru,4/06/2004,BB-,B,positive,BB+,stable
Peru,22/10/2003,BB-,B,stable,BB+,stable
Peru,21/08/2002,BB-,B,negative,BB+,negative
Peru,29/04/2002,BB-,B,stable,BB+,stable
Peru,18/04/2001,BB-,B,negative,BB+,negative
Peru,8/11/2000,BB,B,Rating Watch negative,BBB-,Rating Watch negative
Peru,21/09/2000,BB,B,stable,BBB-,stable
Peru,14/10/1999,BB,B,,BBB-,
Philippines,23/06/2011,BB+,B,stable,BBB-,stable
Philippines,13/02/2006,BB,B,stable,BB+,stable
Philippines,11/07/2005,BB,B,negative,BB+,negative
Philippines,26/05/2005,BB,B,stable,BB+,stable
Philippines,7/12/2004,BB,B,negative,BB+,negative
Philippines,12/06/2003,BB,B,stable,BB+,stable
Philippines,25/11/2002,BB+,B,negative,BBB-,negative
Philippines,15/03/2001,BB+,B,stable,BBB-,stable
Philippines,17/01/2001,BB+,B,Rating Watch negative,BBB,Rating Watch negative
Philippines,21/09/2000,BB+,B,stable,BBB,stable
Philippines,8/07/1999,BB+,B,,BBB,
Poland,18/01/2007,A-,F2,stable,A,stable
Poland,23/03/2005,BBB+,F2,positive,A,stable
Poland,6/05/2004,BBB+,F2,stable,A,stable
Poland,4/11/2003,BBB+,F2,positive,A+,stable
Poland,21/09/2000,BBB+,F2,stable,A+,stable
Poland,19/11/1998,BBB+,F2,,A+,
Poland,7/06/1996,BBB,F3,,A-,
Poland,29/04/1996,BB+,B,Rating Watch positive,-,Rating Watch positive
Poland,26/10/1995,BB+,B,,-,
Portugal,24/11/2011,BB+,B,negative,BB+,negative
Portugal,1/04/2011,BBB-,F3,Rating Watch negative,BBB-,Rating Watch negative
Portugal,24/03/2011,A-,F2,Rating Watch negative,A-,Rating Watch negative
Portugal,23/12/2010,A+,F1,negative,A+,negative
Portugal,24/03/2010,AA-,F1+,negative,AA-,negative
Portugal,3/09/2009,AA,F1+,negative,AA,negative
Portugal,1/05/2007,AA,F1+,stable,AA,stable
Portugal,29/06/2005,AA,F1+,negative,AA,negative
Portugal,21/09/2000,AA,F1+,stable,AA,stable
Portugal,14/07/1998,AA,F1+,,AA,
Portugal,4/06/1998,AA,F1+,,AAA,
Portugal,26/10/1995,AA-,F1+,,AAA,
Portugal,10/08/1994,AA-,,,-,
United Arab Emirates,23/01/2008,A,F1,stable,A,stable
Romania,4/07/2011,BBB-,F3,stable,BBB,stable
Romania,2/02/2010,BB+,B,stable,BBB-,stable
Romania,9/11/2008,BB+,B,negative,BBB-,negative
Romania,31/01/2008,BBB,F3,negative,BBB+,negative
Romania,31/08/2006,BBB,F3,stable,BBB+,stable
Romania,17/11/2004,BBB-,F3,stable,BBB,stable
Romania,23/08/2004,BB,B,positive,BB+,positive
Romania,18/12/2003,BB,B,stable,BB+,stable
Romania,24/09/2003,BB-,B,Rating Watch positive,BB,Rating Watch positive
Romania,30/10/2002,BB-,B,stable,BB,stable
Romania,14/06/2002,B+,B,stable,BB-,stable
Romania,14/11/2001,B,B,positive,B+,positive
Romania,16/11/2000,B,B,stable,B,stable
Romania,21/09/2000,B-,B,stable,B-,stable
Romania,24/03/1999,B-,B,,B-,
Romania,23/12/1998,B,B,,BB-,
Romania,23/09/1998,BB-,B,Rating Watch negative,BBB-,Rating Watch negative
Romania,11/09/1997,BB-,B,,BBB-,
Romania,6/03/1996,BB-,B,,-,
Russian Federation,16/01/2012,BBB,F3,stable,BBB,stable
Russian Federation,8/09/2010,BBB,F3,positive,BBB,positive
Russian Federation,22/01/2010,BBB,F3,stable,BBB,stable
Russian Federation,4/02/2009,BBB,F3,negative,BBB,negative
Russian Federation,9/11/2008,BBB+,F2,negative,BBB+,negative
Russian Federation,25/07/2006,BBB+,F2,stable,BBB+,stable
Russian Federation,3/08/2005,BBB,F3,stable,BBB,stable
Russian Federation,18/11/2004,BBB-,F3,stable,BBB-,stable
Russian Federation,13/05/2003,BB+,B,stable,BB+,stable
Russian Federation,2/05/2002,BB-,B,positive,BB-,positive
Russian Federation,4/10/2001,B+,B,stable,B,stable
Russian Federation,17/07/2001,B,B,positive,B-,positive
Russian Federation,21/09/2000,B,B,stable,B-,stable
Russian Federation,29/08/2000,B,B,,B-,
Russian Federation,8/05/2000,B-,B,,-,
Russian Federation,14/02/2000,CCC,C,Rating Watch positive,-,Rating Watch positive
Russian Federation,27/08/1998,CCC,C,,-,
Russian Federation,17/08/1998,B-,B,Rating Watch negative,-,Rating Watch negative
Russian Federation,30/07/1998,BB-,B,,-,
Russian Federation,7/06/1998,BB,B,Rating Watch negative,-,Rating Watch negative
Russian Federation,5/06/1998,BB+,B,Rating Watch negative,-,Rating Watch negative
Russian Federation,10/03/1998,BB+,B,,-,
Russian Federation,12/02/1998,BB+,B,Rating Watch negative,-,Rating Watch negative
Russian Federation,7/10/1996,BB+,B,,-,
Rwanda,24/08/2010,B,B,stable,B,stable
Rwanda,16/12/2006,B-,B,positive,B-,positive
San Marino,23/07/2012,BBB+,F2,negative,-,
San Marino,22/10/2009,A,F1,negative,-,
San Marino,13/05/2009,AA-,F1+,Rating Watch negative,-,
San Marino,10/01/2001,AA,F1+,stable,-,
Saudi Arabia,9/07/2008,AA-,F1+,stable,AA-,stable
Saudi Arabia,31/07/2007,A+,F1,positive,A+,positive
Saudi Arabia,17/08/2006,A+,F1,stable,A+,stable
Saudi Arabia,24/11/2004,A,F1,stable,A,stable
Serbia,16/08/2012,BB-,B,negative,BB-,negative
Serbia,11/11/2010,BB-,B,stable,BB-,stable
Serbia,23/12/2008,BB-,B,negative,BB-,negative
Serbia,19/05/2005,BB-,B,stable,BB-,stable
Seychelles,3/02/2011,B,B,stable,B+,stable
Seychelles,1/02/2010,B-,B,positive,B,positive
Singapore,14/05/2003,AAA,F1+,stable,AAA,stable
Singapore,21/09/2000,AA+,F1+,stable,AAA,stable
Singapore,18/11/1998,AA+,F1+,,AAA,
Slovak Republic,8/07/2008,A+,F1,stable,A+,stable
Slovak Republic,7/05/2008,A,F1,Rating Watch positive,A+,stable
Slovak Republic,23/07/2007,A,F1,positive,A+,stable
Slovak Republic,11/10/2005,A,F1,stable,A+,stable
Slovak Republic,21/09/2004,A-,F2,stable,A+,stable
Slovak Republic,22/01/2004,BBB+,F2,positive,A,stable
Slovak Republic,4/11/2003,BBB,F3,positive,A-,stable
Slovak Republic,3/03/2003,BBB,F3,stable,A-,stable
Slovak Republic,1/11/2002,BBB-,F3,positive,BBB+,positive
Slovak Republic,20/02/2001,BB+,B,positive,BBB+,positive
Slovak Republic,21/09/2000,BB+,B,stable,BBB+,stable
Slovak Republic,22/12/1998,BB+,B,,BBB+,
Slovak Republic,5/10/1998,BBB-,F3,Rating Watch negative,A-,Rating Watch negative
Slovak Republic,8/08/1996,BBB-,F3,,A-,
Slovak Republic,8/08/2012,A-,F2,negative,A-,negative
Slovak Republic,27/01/2012,A,F1,negative,A,negative
Slovak Republic,16/12/2011,AA-,F1+,Rating Watch negative,AA-,Rating watch negative
Slovak Republic,28/09/2011,AA-,F1+,negative,AA-,negative
Slovak Republic,12/07/2006,AA,F1+,stable,AA,stable
Slovak Republic,7/07/2004,AA-,F1+,positive,AA,stable
Slovak Republic,4/11/2003,A+,F1,positive,AA,stable
Slovak Republic,6/05/2003,A+,F1,stable,AA,stable
Slovak Republic,29/05/2002,A,F1,positive,AA,positive
Slovak Republic,21/09/2000,A,F1,stable,AA,stable
Slovak Republic,15/12/1999,A,F1,,AA,
Slovak Republic,9/05/1996,A-,F1,,AA-,
South Africa,13/01/2012,BBB+,F2,negative,A,negative
South Africa,17/01/2011,BBB+,F2,stable,A,stable
South Africa,9/11/2008,BBB+,F2,negative,i,negative
South Africa,17/06/2008,BBB+,F2,stable,A,stable
South Africa,25/07/2007,BBB+,F2,positive,A,positive
South Africa,25/08/2005,BBB+,F2,stable,A,stable
South Africa,21/10/2004,BBB,F3,positive,A-,positive
South Africa,2/05/2003,BBB,F3,stable,A-,stable
South Africa,11/03/2003,BBB-,F3,Rating Watch positive,BBB+,Rating Watch positive
South Africa,20/08/2002,BBB-,F3,positive,BBB+,positive
South Africa,21/09/2000,BBB-,F3,stable,BBB+,stable
South Africa,27/06/2000,BBB-,F3,,BBB+,
South Africa,19/05/2000,BB+,B,,BBB+,
South Africa,28/05/1998,BB,B,,BBB,
South Africa,17/02/1998,BB,B,Rating Watch positive,BBB,Rating Watch positive
South Africa,5/06/1996,BB,B,,BBB,
South Africa,26/10/1995,BB,B,,-,
South Africa,22/09/1994,BB,,,-,
Spain,7/06/2012,BBB,F2,negative,BBB,negative
Spain,27/01/2012,A,F1,negative,A,negative
Spain,16/12/2011,AA-,F1+,Rating Watch negative,AA-,Rating Watch negative
Spain,7/10/2011,AA-,F1+,negative,AA-,negative
Spain,4/03/2011,AA+,F1+,negative,AA+,negative
Spain,28/05/2010,AA+,F1+,stable,AA+,stable
Spain,10/12/2003,AAA,F1+,stable,AAA,stable
Spain,21/09/2000,AA+,F1+,stable,AA+,stable
Spain,1/09/1999,AA+,F1+,,AA+,
Spain,14/07/1998,AA,F1+,,AA,
Spain,26/10/1995,AA,F1+,,AAA,
Spain,10/08/1994,AA,,,-,
Sri Lanka,18/07/2011,BB-,B,stable,BB-,stable
Sri Lanka,21/09/2010,B+,B,positive,B+,positive
Sri Lanka,9/10/2009,B+,B,stable,B+,stable
Sri Lanka,27/02/2009,B+,B,negative,B+,negative
Sri Lanka,2/04/2008,B+,B,stable,B+,stable
Sri Lanka,27/04/2006,BB-,B,negative,BB-,negative
Sri Lanka,8/12/2005,BB-,B,stable,BB-,stable
Suriname,10/07/2012,BB-,B,stable,BB-,stable
Suriname,29/07/2011,B+,,stable,B+,stable
Suriname,20/10/2009,B,,positive,B+,stable
Suriname,18/06/2004,B,,stable,B+,stable
Sweden,8/03/2004,AAA,F1+,stable,AAA,stable
Sweden,4/03/2002,AA+,F1+,stable,AAA,stable
Sweden,18/07/2001,AA,F1+,positive,AAA,positive
Sweden,21/09/2000,AA,F1+,stable,AAA,stable
Sweden,27/01/1999,AA,F1+,,AAA,
Sweden,26/10/1995,AA-,F1+,,AAA,
Sweden,22/12/1994,AA-,,,-,
Sweden,10/08/1994,AA,,,-,
Switzerland,21/09/2000,AAA,F1+,stable,AAA,stable
Switzerland,26/10/1995,AAA,F1+,,AAA,
Switzerland,10/08/1994,AAA,,,-,
Taiwan,18/01/2009,A+,F1,stable,AA,negative
Taiwan,19/11/2001,A+,F1,stable,AA,stable
Thailand,12/05/2011,BBB,F3,stable,A-,stable
Thailand,19/04/2010,BBB,F3,stable,A-,negative
Thailand,16/04/2009,BBB,F3,stable,A-,stable
Thailand,1/12/2008,BBB+,F2,negative,A,negative
Thailand,22/10/2006,BBB+,F2,stable,A,stable
Thailand,19/09/2006,BBB+,F2,Rating Watch negative,A,Rating Watch negative
Thailand,10/05/2005,BBB+,F2,stable,A,stable
Thailand,3/03/2004,BBB,F3,positive,A-,positive
Thailand,3/09/2003,BBB,F3,stable,A-,stable
Thailand,10/10/2002,BBB-,F3,positive,BBB+,positive
Thailand,21/09/2000,BBB-,F3,stable,BBB+,stable
Thailand,24/06/1999,BBB-,F3,,BBB+,
Thailand,26/04/1999,BB+,B,Rating Watch positive,BBB+,Rating Watch positive
Thailand,14/05/1998,BB+,B,,BBB+,
Tunisia,2/03/2011,BBB-,F3,negative,BBB,negative
Tunisia,14/01/2011,BBB,F2,Rating Watch negative,A-,Rating Watch negative
Tunisia,24/05/2001,BBB,F2,stable,A-,stable
Tunisia,21/09/2000,BBB-,F3,positive,A-,positive
Tunisia,26/09/1996,BBB-,F3,,A-,
Tunisia,26/10/1995,BBB-,F3,,-,
Tunisia,14/09/1995,BBB-,,,-,
Turkey,23/11/2011,BB+,B,stable,BB+,stable
Turkey,24/11/2010,BB+,B,positive,BB+,positive
Turkey,3/12/2009,BB+,B,stable,BB+,stable
Turkey,27/10/2009,BB-,B,Rating Watch positive,BB,Rating Watch positive
Turkey,12/12/2007,BB-,B,stable,BB,stable
Turkey,9/05/2007,BB-,B,stable,BB-,stable
Turkey,6/12/2005,BB-,B,positive,BB-,positive
Turkey,13/01/2005,BB-,B,stable,BB-,stable
Turkey,25/08/2004,B+,B,positive,B+,positive
Turkey,9/02/2004,B+,B,stable,B+,stable
Turkey,25/09/2003,B,B,positive,B,positive
Turkey,6/08/2003,B-,B,positive,B-,positive
Turkey,25/03/2003,B-,B,negative,B-,negative
Turkey,5/02/2002,B,B,stable,B,stable
Turkey,2/08/2001,B,B,negative,B-,negative
Turkey,2/04/2001,B+,B,Rating Watch negative,B,Rating Watch negative
Turkey,22/02/2001,BB-,B,Rating Watch negative,B+,Rating Watch negative
Turkey,21/09/2000,BB-,B,stable,BB,stable
Turkey,27/04/2000,BB-,B,,BB,
Turkey,10/04/2000,B+,B,Rating Watch positive,-,Rating Watch positive
Turkey,20/12/1996,B+,B,,-,
Turkey,29/07/1996,BB-,B,Rating Watch negative,-,Rating Watch negative
Turkey,26/10/1995,BB-,B,,-,
Turkey,26/09/1995,BB-,,,-,
Turkey,10/08/1994,B,,,-,
Turkmenistan,25/02/2005,-,,,-,
Turkmenistan,18/05/2001,CCC-,C,,-,
Turkmenistan,21/09/2000,B-,B,stable,-,stable
Turkmenistan,29/01/1999,B-,B,,-,
Turkmenistan,7/01/1998,B,B,,-,
Uganda,7/10/2011,B,B,stable,B,stable
Uganda,19/08/2009,B,B,positive,B,positive
Uganda,17/03/2005,B,B,stable,B,stable
Ukraine,19/10/2011,B,B,stable,B,stable
Ukraine,21/07/2011,B,B,positive,B,positive
Ukraine,6/07/2010,B,B,stable,B,stable
Ukraine,17/03/2010,B-,B,stable,B-,stable
Ukraine,12/11/2009,B-,B,negative,B-,negative
Ukraine,13/02/2009,B,B,negative,B,negative
Ukraine,17/10/2008,B+,B,negative,B+,negative
Ukraine,25/09/2008,BB-,B,negative,BB-,negative
Ukraine,14/05/2008,BB-,B,stable,BB-,stable
Ukraine,25/10/2006,BB-,B,positive,BB-,positive
Ukraine,12/01/2006,BB-,B,stable,BB-,stable
Ukraine,8/06/2005,BB-,B,positive,BB-,positive
Ukraine,21/01/2005,BB-,B,stable,BB-,stable
Ukraine,25/06/2003,B+,B,stable,B+,stable
Ukraine,26/03/2002,B,B,stable,B,stable
Ukraine,13/06/2001,B-,B,stable,B-,stable
United Kingdom,14/03/2012,AAA,F1+,negative,AAA,negative
United Kingdom,21/09/2000,AAA,F1+,stable,AAA,stable
United Kingdom,26/10/1995,AAA,F1+,,AAA,
United Kingdom,10/08/1994,AAA,,,-,
United States,28/11/2011,AAA,F1+,negative,AAA,negative
United States,21/09/2000,AAA,F1+,stable,AAA,stable
United States,1/04/1996,AAA,F1+,,AAA,
United States,13/11/1995,AAA,F1+,Rating Watch negative,AAA,Rating Watch negative
United States,26/10/1995,AAA,F1+,,AAA,
United States,10/08/1994,AAA,,,-,
Uruguay,24/04/2012,BB+,B,positive,BBB-,positive
Uruguay,14/07/2011,BB+,B,stable,BBB-,stable
Uruguay,27/07/2010,BB,B,positive,BB+,positive
Uruguay,13/07/2009,BB-,B,positive,BB,positive
Uruguay,27/07/2007,BB-,B,stable,BB,stable
Uruguay,24/05/2006,B+,B,positive,BB-,positive
Uruguay,7/03/2005,B+,B,stable,BB-,stable
Uruguay,29/03/2004,B,B,stable,B+,stable
Uruguay,17/06/2003,B-,B,stable,B,stable
Uruguay,16/05/2003,DDD,D,,B,
Uruguay,10/04/2003,C,C,,CCC-,
Uruguay,12/03/2003,CCC-,C,negative,CCC-,negative
Uruguay,7/01/2003,B-,B,negative,B,negative
Uruguay,30/07/2002,B,B,negative,B,negative
Uruguay,28/05/2002,B+,B,Rating Watch negative,BB-,Rating Watch negative
Uruguay,13/03/2002,BB+,B,negative,BBB-,negative
Uruguay,23/07/2001,BBB-,F3,negative,BBB+,negative
Uruguay,21/09/2000,BBB-,F3,stable,BBB+,stable
Uruguay,19/05/2000,BBB-,F3,,BBB+,
Uruguay,23/01/1997,BBB-,F3,,-,
Uruguay,14/01/1997,BB+,B,Rating Watch positive,-,Rating Watch positive
Uruguay,26/10/1995,BB+,B,,-,
Uruguay,18/01/1995,BB+,,,-,
Venezuela,4/04/2012,B+,B,negative,B+,negative
Venezuela,16/12/2008,B+,B,stable,B+,stable
Venezuela,18/10/2007,BB-,B,negative,BB-,negative
Venezuela,14/11/2005,BB-,B,stable,BB-,stable
Venezuela,20/09/2004,B+,B,stable,B+,stable
Venezuela,23/06/2003,B-,B,stable,B-,stable
Venezuela,10/01/2003,CCC+,C,negative,CCC,negative
Venezuela,28/06/2002,B,B,negative,B-,negative
Venezuela,6/02/2002,B+,B,negative,B,negative
Venezuela,18/12/2001,BB-,B,negative,B+,negative
Venezuela,21/09/2000,BB-,B,stable,B+,stable
Venezuela,15/05/2000,BB-,B,,B+,
Venezuela,2/09/1999,BB-,B,Rating Watch negative,-,Rating Watch negative
Venezuela,15/09/1997,BB-,B,,-,
Vietnam,28/07/2010,B+,B,stable,B+,stable
Vietnam,11/03/2010,BB-,B,Rating Watch negative,BB-,Rating Watch negative
Vietnam,29/06/2009,BB-,B,stable,BB-,negative
Vietnam,29/05/2008,BB-,B,negative,BB,negative
Vietnam,6/11/2003,BB-,B,stable,BB,stable
Vietnam,11/06/2002,BB-,B,positive,BB,positive
Zambia,1/03/2012,B+,B,negative,B+,negative
Zambia,2/03/2011,B+,B,stable,B+,stable
